"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","10","","Categoría del parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","12","","Tipo del proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","13","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","14","","Identificador del proceso de producción del análisis o de la predicción (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","15-16","","Límite (horas) de recogida de datos de observación después de la hora de referencia","(véase la nota)","","","","Operational"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","17","","Límite (minutos) de recogida de datos de observación después de la hora de referencia","","","","","Operational"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","18","","Indicador de unidad del intervalo de tiempo","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.1000 — Corte transversal de un análisis o predicción en un momento dado","19-22","","Hora de la predicción expresada en la unidad precisada por el octeto 18","","","","","Operational"
