ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/53/15-28,Coefficients harmoniques sphériques après dilatation et rotation,15-28,14,Voir le modèle de définition de la grille 3.50,,,,,Operational,PDF
grib2/3/53/29-32,Coefficients harmoniques sphériques après dilatation et rotation,29-32,4,Latitude du pôle Sud de la projection,,,,,Operational,PDF
grib2/3/53/33-36,Coefficients harmoniques sphériques après dilatation et rotation,33-36,4,Longitude du pôle Sud de la projection,,,,,Operational,PDF
grib2/3/53/37-40,Coefficients harmoniques sphériques après dilatation et rotation,37-40,4,Angle de rotation de la projection,,,,,Operational,PDF
grib2/3/53/41-44,Coefficients harmoniques sphériques après dilatation et rotation,41-44,4,Latitude du pôle de dilatation,,,,,Operational,PDF
grib2/3/53/45-48,Coefficients harmoniques sphériques après dilatation et rotation,45-48,4,Longitude du pôle de dilatation,,,,,Operational,PDF
grib2/3/53/49-52,Coefficients harmoniques sphériques après dilatation et rotation,49-52,4,Facteur de dilatation,,,,,Operational,PDF
